categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport
Scarpe Sportive,36.0,uomo,PUMA,STEWIE 2 CHERRY ON TOP - Scarpe da basket - mauved out/magenta gleam,65.99,119.99,https://www.zalando.it/puma-scarpe-da-basket-mauved-outmagenta-gleam-pu142a1v3-q11.html?size=36,stewie 2 cherry on top,scarpe da basket
Scarpe Sportive,36.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - for all time red black,59.95,75.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-stabili-for-all-time-red-black-pu115o0wk-g11.html?size=36,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - varsity gold,54.99,99.99,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-varsity-gold-ne215o05f-e11.html?size=36,480 unisex,scarpe da basket
Scarpe Sportive,36.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,55.95,70.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=36,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,55.95,70.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=36,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,FLYER LITE 3 - Scarpe da corsa su strada - alpine snow flat light gray black glowing red,39.95,50.0,https://www.zalando.it/puma-flyer-lite-3-unisex-scarpe-da-corsa-su-strada-alpine-snow-flat-light-gray-black-glowing-red-pu144a0cl-a11.html?size=36,flyer lite 3,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - white/castlerock/ares red,90.99,129.99,https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-whitecastlerockares-red-un244a02c-a12.html?size=36,apparition,scarpe da allenamento
Scarpe Sportive,36.0,uomo,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - galactic gray/green glare/green moon,55.49,64.99,https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-galactic-graygreen-glaregreen-moon-pu144a0cm-c11.html?size=36,disperse xt 4 unisex,scarpe da allenamento
Scarpe Sportive,36.0,uomo,PUMA,X CELL NOVA UNISEX - Scarpe da allenamento - black-gold,58.99,69.99,https://www.zalando.it/puma-x-cell-nova-unisex-scarpe-da-allenamento-black-gold-pu144a0bj-q11.html?size=36,x cell nova unisex,scarpe da allenamento
Scarpe Sportive,36.0,uomo,PUMA,X CELL NOVA UNISEX - Scarpe da allenamento - black-gold,58.99,69.99,https://www.zalando.it/puma-x-cell-nova-unisex-scarpe-da-allenamento-black-gold-pu144a0bj-q11.html?size=36,x cell nova unisex,scarpe da allenamento
Scarpe Sportive,36.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white,89.99,99.99,https://www.zalando.it/new-balance-480l-unisex-sneakers-basse-white-ne215o05f-q13.html?size=36,480 unisex,scarpe da basket
Scarpe Sportive,36.5,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - black/metallic black/castlerock,129.99,129.99,https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-blackmetallic-blackcastlerock-un244a02c-q11.html?size=36.5,apparition,scarpe da allenamento
Scarpe Sportive,36.5,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - ivory dune/aero pink,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-unisex-scarpe-da-trail-running-ivory-duneaero-pink-un242a0mq-b11.html?size=36.5,infinite pro unisex,scarpe da trail running
Scarpe Sportive,36.5,uomo,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - black/anthracite/tetra gray,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-trail-scarpe-da-trail-running-blackanthracitetetra-gray-un242a0mq-q11.html?size=36.5,infinite pro unisex,scarpe da trail running
Scarpe Sportive,36.5,uomo,UNDER ARMOUR,JET '23 - Scarpe da basket - black,60.0,60.0,https://www.zalando.it/under-armour-court-performance-ua-gs-jet-scarpe-da-basket-black-un243a04a-q11.html?size=36.5,jet '23,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=37,morphic,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver red,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-red-pu115o0pg-a19.html?size=37,morphic,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=37,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=37,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=37,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white,90.0,114.0,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-white-ne215o05f-a12.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - black/cool dark gray,44.95,60.0,https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-blackcool-dark-gray-pu142a1xo-q11.html?size=37,skyrocket lite,scarpe da trail running
Scarpe Sportive,37.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black/flat dark gray,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-blackflat-dark-gray-pu142a1y5-q12.html?size=37,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - prism purple,69.99,99.99,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-prism-purple-ne215o05f-c11.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,POUNCE LITE - Scarpe da trail running - gold black,38.95,55.0,https://www.zalando.it/puma-scarpe-running-neutre-gold-black-pu144a0ck-q11.html?size=37,pounce lite,scarpe da trail running
Scarpe Sportive,37.0,uomo,PUMA,CELL THRILL UNISEX - Scarpe da allenamento - for all time red/black,55.49,64.99,https://www.zalando.it/puma-cell-thrill-unisex-scarpe-da-allenamento-for-all-time-redblack-pu144a0by-g11.html?size=37,cell thrill unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,NEW BALANCE,530 - Scarpe da corsa su strada - grey beige,120.0,120.0,https://www.zalando.it/new-balance-sneakers-basse-grey-beige-ne242a0o4-c11.html?size=37,530,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - yellow alert/black,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-yellow-alertblack-pu142a1y5-e11.html?size=37,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - varsity gold,54.99,99.99,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-varsity-gold-ne215o05f-e11.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,STEWIE 2 CHERRY ON TOP - Scarpe da basket - mauved out/magenta gleam,65.99,119.99,https://www.zalando.it/puma-scarpe-da-basket-mauved-outmagenta-gleam-pu142a1v3-q11.html?size=37,stewie 2 cherry on top,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - loden green black,41.95,60.0,https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-loden-green-black-pu142a1xo-m11.html?size=37,skyrocket lite,scarpe da trail running
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white,89.99,99.99,https://www.zalando.it/new-balance-480l-unisex-sneakers-basse-white-ne215o05f-q13.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - for all time red black,59.95,75.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-stabili-for-all-time-red-black-pu115o0wk-g11.html?size=37,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - black/cool dark gray,56.95,65.0,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-blackcool-dark-gray-pu115o0nn-q11.html?size=37,caven 2.0 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - black/white,48.95,65.0,https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-blackwhite-pu144a0cm-q11.html?size=37,disperse xt 4 unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,NEW BALANCE,KAWHI IV  - Scarpe da basket - black,109.99,169.99,https://www.zalando.it/new-balance-kawhi-iv-scarpe-da-basket-black-ne242a0j9-a13.html?size=37,kawhi iv,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/silver,57.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitesilver-pu115o0nn-a11.html?size=37,caven 2.0 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - galactic gray/green glare/green moon,55.49,64.99,https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-galactic-graygreen-glaregreen-moon-pu144a0cm-c11.html?size=37,disperse xt 4 unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - dark mushroom,99.99,99.99,https://www.zalando.it/new-balance-480l-unisex-sneakers-basse-dark-mushroom-ne215o05f-b11.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,55.95,70.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=37,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,55.95,70.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=37,retaliate 3,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/peaceful blue/cool light gray,57.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitepeaceful-bluecool-light-gray-pu115o0nn-a25.html?size=37,caven 2.0 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,CELL THRILL UNISEX - Scarpe da allenamento - black black,64.99,64.99,https://www.zalando.it/puma-cell-thrill-scarpe-running-neutre-black-black-pu144a0by-q12.html?size=37,cell thrill unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - black,70.0,99.95,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-black-ne215o05f-q11.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - black/cool dark gray,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-blackcool-dark-gray-pu144a0cn-q11.html?size=37,softride enzo 5,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - navy,43.95,55.0,https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-pu144a07j-k11.html?size=37,anzarun lite,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white/blue,85.0,100.0,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-whiteblue-ne215o05f-a15.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,59.95,80.0,https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=37,darter pro,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - mars red  white black,72.95,130.0,https://www.zalando.it/puma-nitro-scarpe-running-neutre-mars-red-white-black-pu144a0c2-g11.html?size=37,pwr nitro sqd2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,EASY RIDER MIX - Scarpe da camminata - white/black,79.95,100.0,https://www.zalando.it/puma-easy-rider-unisex-sneakers-basse-whiteblack-pu115o0tz-a11.html?size=37,easy rider mix,scarpe da camminata
Scarpe Sportive,37.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white/light grey,89.99,99.99,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-whitelight-grey-ne215o05f-a13.html?size=37,480 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white,54.99,54.99,https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-blackwhite-pu144a07j-q11.html?size=37,anzarun lite,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=37,pwr hybrid tr unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=37,pwr hybrid tr unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,SOLARSTRIKE II - Scarpe da allenamento - black/fire orchid/white,51.95,90.0,https://www.zalando.it/puma-solarstrike-ii-scarpe-da-allenamento-blackfire-orchidwhite-pu142a1bk-q14.html?size=37,solarstrike ii,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/dark myrtle/gold,48.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitedark-myrtlegold-pu115o0nn-a17.html?size=37,caven 2.0 unisex,scarpe da basket
Scarpe Sportive,37.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black pure magenta,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-pure-magenta-pu144a0c2-q13.html?size=37,pwr nitro sqd2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - puma white-puma black,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-puma-white-puma-black-pu144a0cn-a11.html?size=37,softride enzo 5,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - puma white-puma black,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-puma-white-puma-black-pu144a0cn-a11.html?size=37,softride enzo 5,scarpe da allenamento
Scarpe Sportive,37.0,uomo,MIZUNO,WAVE PHANTOM 3 UNISEX - Scarpe da pallamano - mint/black/blue,98.99,109.99,https://www.zalando.it/mizuno-wave-phantom-3-unisex-scarpe-da-pallamano-mintblackblue-m2744a00r-m11.html?size=37,wave phantom 3 unisex,scarpe da pallamano
Scarpe Sportive,37.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black lapis lazuli white,70.95,130.0,https://www.zalando.it/puma-nitro-scarpe-running-neutre-black-lapis-lazuli-white-pu144a0c2-q12.html?size=37,pwr nitro sqd2,scarpe da corsa su strada
Scarpe Sportive,37.0,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,48.95,70.0,https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=37,prospect unisex,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,KING IT - Scarpe da calcetto - black/white,66.99,74.99,https://www.zalando.it/puma-king-21-scarpe-da-calcetto-blackwhite-pu142a181-q11.html?size=37,king it,scarpe da calcetto
Scarpe Sportive,37.0,uomo,MIZUNO,WAVE MIRAGE 5 UNISEX - Scarpe da pallamano - mint/black/blue,127.99,159.99,https://www.zalando.it/mizuno-sneakers-basse-mintblackblue-m2744a00q-m11.html?size=37,wave mirage 5 unisex,scarpe da pallamano
Scarpe Sportive,37.0,uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - black white,75.0,75.0,https://www.zalando.it/puma-softride-enzo-5-scarpe-da-allenamento-black-white-pu144a0cn-q12.html?size=37,softride enzo 5,scarpe da allenamento
Scarpe Sportive,37.0,uomo,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/dark myrtle/black,64.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitedark-myrtleblack-pu115o0nn-a29.html?size=37,caven 2.0 unisex,scarpe da basket
